year,date,match_id,home_team,away_team,p_home_win,p_draw,p_away_win,predicted_class
2002,2002-06-17,53,Mexico,United States,0.4335522095231885,0.2858608790718985,0.280586911404913,home_win
2002,2002-06-18,54,Japan,Turkey,0.6148512363433838,0.2499857246875763,0.13516303896903992,home_win
2002,2002-06-18,55,South Korea,Italy,0.30052340030670166,0.32617077231407166,0.3733058273792267,away_win
2002,2002-06-21,56,England,Brazil,0.36362331021954686,0.31832720880725357,0.31804948097319957,home_win
2002,2002-06-21,57,Germany,United States,0.4339171777342909,0.2364285360702436,0.3296542861954655,home_win
2002,2002-06-22,58,Senegal,Turkey,0.3325946827949678,0.29130237426452715,0.37610294294050506,away_win
2002,2002-06-22,59,South Korea,Spain,0.32755752421744094,0.299116989996523,0.3733254857860361,away_win
2002,2002-06-25,60,South Korea,Germany,0.45898244029388185,0.25867767580284623,0.2823398839032719,home_win
2002,2002-06-26,61,Brazil,Turkey,0.5834685054938272,0.2461254484374143,0.17040604606875845,home_win
2002,2002-06-29,62,South Korea,Turkey,0.5395450431244062,0.2673104623761635,0.19314449449943022,home_win
2002,2002-06-30,63,Germany,Brazil,0.3236354194988185,0.2574967367203016,0.4188678437808799,away_win
2006,2006-06-09,0,Germany,Costa Rica,0.6549414093021189,0.22331837817959688,0.12174021251828429,home_win
2006,2006-06-09,1,Poland,Ecuador,0.5966659695406858,0.26730075080244614,0.13603327965686798,home_win
2006,2006-06-10,2,Argentina,Ivory Coast,0.5647539496421814,0.2823873460292816,0.152858704328537,home_win
2006,2006-06-10,3,England,Paraguay,0.7013887114719397,0.18454374235463333,0.1140675461734269,home_win
2006,2006-06-10,4,Trinidad and Tobago,Sweden,0.1447056488780484,0.2501548156096096,0.605139535512342,away_win
2006,2006-06-11,5,Angola,Portugal,0.13166131275387574,0.19489237956542343,0.6734463076807008,away_win
2006,2006-06-11,6,Mexico,Iran,0.3741664699961683,0.2792078637840707,0.346625666219761,home_win
2006,2006-06-11,7,Serbia,Netherlands,0.2109259727873198,0.3116251323111395,0.47744889490154074,away_win
2006,2006-06-12,8,Australia,Japan,0.4992395341396332,0.30547022819519043,0.1952902376651764,home_win
2006,2006-06-12,9,Italy,Ghana,0.6154285715179784,0.2626095731750844,0.1219618553069372,home_win
2006,2006-06-12,10,United States,Czech Republic,0.23160625194329773,0.2930412975860029,0.4753524504706994,away_win
2006,2006-06-13,11,Brazil,Croatia,0.6928055183171403,0.1550983018413439,0.15209617984151572,home_win
2006,2006-06-13,12,France,Switzerland,0.5498876489715628,0.28475626878803567,0.16535608224040146,home_win
2006,2006-06-13,13,South Korea,Togo,0.6261813453977899,0.2346098353084971,0.13920881929371298,home_win
2006,2006-06-14,14,Germany,Poland,0.6093901072169888,0.25958154765881064,0.1310283451242005,home_win
2006,2006-06-14,15,Spain,Ukraine,0.6005305647850037,0.21605134010314941,0.18341809511184692,home_win
2006,2006-06-14,16,Tunisia,Saudi Arabia,0.5369240917608683,0.2847353348293701,0.1783405734097616,home_win
2006,2006-06-15,17,Ecuador,Costa Rica,0.40901606732702656,0.3059736076577668,0.2850103250152066,home_win
2006,2006-06-15,18,England,Trinidad and Tobago,0.7712835382192009,0.14360291720915894,0.08511354457164018,home_win
2006,2006-06-15,19,Sweden,Paraguay,0.41941188515985356,0.3221948646844964,0.25839325015565007,home_win
2006,2006-06-16,20,Argentina,Serbia,0.44705928353700264,0.32698963610874254,0.22595108035425482,home_win
2006,2006-06-16,21,Mexico,Angola,0.6536033944369374,0.22341171572839366,0.12298488983466893,home_win
2006,2006-06-16,22,Netherlands,Ivory Coast,0.5848435424943362,0.26908115755384376,0.1460752999518201,home_win
2006,2006-06-17,23,Czech Republic,Ghana,0.688153191920671,0.20713802709121942,0.10470878098810954,home_win
2006,2006-06-17,24,Italy,United States,0.49310189485549927,0.306363046169281,0.20053505897521973,home_win
2006,2006-06-17,25,Portugal,Iran,0.5834894689397593,0.2463905923606367,0.17011993869960398,home_win
2006,2006-06-18,26,Brazil,Australia,0.5575463175773621,0.23879987001419067,0.20365381240844727,home_win
2006,2006-06-18,27,France,South Korea,0.669214129447937,0.21477802097797394,0.11600784957408905,home_win
2006,2006-06-18,28,Japan,Croatia,0.3548467265023806,0.2807059967728256,0.3644472767247938,away_win
2006,2006-06-19,29,Saudi Arabia,Ukraine,0.25409887706644074,0.28731931523565557,0.45858180769790363,away_win
2006,2006-06-19,30,Spain,Tunisia,0.6686137318611145,0.20399019122123718,0.12739607691764832,home_win
2006,2006-06-19,31,Togo,Switzerland,0.2045293091377822,0.26227407865899566,0.5331966122032221,away_win
2006,2006-06-20,32,Costa Rica,Poland,0.2458251753825616,0.26340817227625074,0.49076665234118766,away_win
2006,2006-06-20,33,Germany,Ecuador,0.6235670168593369,0.2572673742204588,0.11916560892020424,home_win
2006,2006-06-20,34,Paraguay,Trinidad and Tobago,0.5695602639216066,0.22920233476747567,0.20123740131091766,home_win
2006,2006-06-20,35,Sweden,England,0.27531006932258606,0.2947559356689453,0.42993399500846863,away_win
2006,2006-06-21,36,Iran,Angola,0.6870582103729248,0.18937692046165466,0.12356486916542053,home_win
2006,2006-06-21,37,Ivory Coast,Serbia,0.40517115592956543,0.2706614136695862,0.3241674304008484,home_win
2006,2006-06-21,38,Netherlands,Argentina,0.46430551313898694,0.3070588960191772,0.22863559084183588,home_win
2006,2006-06-21,39,Portugal,Mexico,0.49777187413657087,0.2599384111184355,0.2422897147449936,home_win
2006,2006-06-22,40,Croatia,Australia,0.301751953258994,0.29753000750958875,0.40071803923141724,away_win
2006,2006-06-22,41,Czech Republic,Italy,0.3922869381990116,0.30285070248993345,0.30486235931105493,home_win
2006,2006-06-22,42,Ghana,United States,0.22421432209653622,0.29529781029515895,0.48048786760830486,away_win
2006,2006-06-22,43,Japan,Brazil,0.18088654761830256,0.2675404410088325,0.551573011372865,away_win
2006,2006-06-23,44,Saudi Arabia,Spain,0.12528074161054914,0.1829293126740847,0.6917899457153662,away_win
2006,2006-06-23,45,Switzerland,South Korea,0.38558985633880327,0.2803044831662034,0.3341056604949933,home_win
2006,2006-06-23,46,Togo,France,0.07748834788799286,0.17813058197498322,0.7443810701370239,away_win
2006,2006-06-23,47,Ukraine,Tunisia,0.3844417746198706,0.28954602150756187,0.3260122038725675,home_win
2006,2006-06-24,48,Argentina,Mexico,0.39050525426864624,0.36121097207069397,0.2482837736606598,home_win
2006,2006-06-24,49,Germany,Sweden,0.5243178918551142,0.29483776061759953,0.18084434752728626,home_win
2006,2006-06-25,50,England,Ecuador,0.7412244302399287,0.174847652758588,0.08392791700148335,home_win
2006,2006-06-25,51,Portugal,Netherlands,0.3235367238521576,0.2922866940498352,0.3841765820980072,away_win
2006,2006-06-26,52,Italy,Australia,0.2861663911889079,0.3542505695149133,0.35958303929617885,away_win
2006,2006-06-26,53,Switzerland,Ukraine,0.3706173786336965,0.278015277444861,0.35136734392144253,home_win
2006,2006-06-27,54,Brazil,Ghana,0.8569289690769514,0.08481270472355279,0.058258326199495836,home_win
2006,2006-06-27,55,Spain,France,0.3617057502269745,0.30066829919815063,0.3376259505748749,home_win
2006,2006-06-30,56,Germany,Argentina,0.5091180801391602,0.3027017116546631,0.18818020820617676,home_win
2006,2006-06-30,57,Italy,Ukraine,0.4738089810879377,0.3201554167293819,0.2060356021826804,home_win
2006,2006-07-01,58,Brazil,France,0.4806392550944727,0.28286351880904426,0.23649722609648302,home_win
2006,2006-07-01,59,England,Portugal,0.39272403717041016,0.3055121898651123,0.30176377296447754,home_win
2006,2006-07-04,60,Germany,Italy,0.46394049906376,0.3187182735632821,0.2173412273729579,home_win
2006,2006-07-05,61,Portugal,France,0.28560759766079197,0.28943263621829046,0.4249597661209176,away_win
2006,2006-07-08,62,Germany,Portugal,0.4531947604835814,0.36249157246214786,0.18431366705427069,home_win
2006,2006-07-09,63,Italy,France,0.28455281257629395,0.36552536487579346,0.3499218225479126,draw
2010,2010-06-11,0,South Africa,Mexico,0.24841228507106222,0.32049532292059113,0.4310923920083467,away_win
2010,2010-06-11,1,Uruguay,France,0.30261893256789846,0.3111488931686346,0.38623217426346695,away_win
2010,2010-06-12,2,Argentina,Nigeria,0.46498931840030305,0.29642448712660335,0.2385861944730936,home_win
2010,2010-06-12,3,England,United States,0.7465786115354713,0.13478619948666692,0.11863518897786174,home_win
2010,2010-06-12,4,South Korea,Greece,0.43151060154970877,0.3131749741330758,0.2553144243172154,home_win
2010,2010-06-13,5,Algeria,Slovenia,0.2782068169651384,0.3064148036713957,0.41537837936346594,away_win
2010,2010-06-13,6,Germany,Australia,0.6452683902571855,0.20223473313800594,0.1524968766048085,home_win
2010,2010-06-13,7,Serbia,Ghana,0.5931044220924377,0.24136097729206085,0.1655346006155014,home_win
2010,2010-06-14,8,Italy,Paraguay,0.590674877166748,0.2767023742198944,0.13262274861335754,home_win
2010,2010-06-14,9,Japan,Cameroon,0.3798663544575187,0.29152654358902835,0.32860710195345294,home_win
2010,2010-06-14,10,Netherlands,Denmark,0.6542269186445152,0.196041023613245,0.14973205774223977,home_win
2010,2010-06-15,11,Brazil,North Korea,0.7938315094896069,0.15885226073446287,0.04731622977593027,home_win
2010,2010-06-15,12,Ivory Coast,Portugal,0.26246591620248805,0.2692106285926512,0.4683234552048607,away_win
2010,2010-06-15,13,New Zealand,Slovakia,0.3638189435005188,0.2823233902454376,0.3538576662540436,home_win
2010,2010-06-16,14,Honduras,Chile,0.27005987554610145,0.2888193342441519,0.44112079020974665,away_win
2010,2010-06-16,15,South Africa,Uruguay,0.35159481619581034,0.30641395766776675,0.3419912261364229,home_win
2010,2010-06-16,16,Spain,Switzerland,0.790765106678009,0.09711948037147522,0.11211541295051575,home_win
2010,2010-06-17,17,Argentina,South Korea,0.501846186789182,0.24574000767260779,0.2524138055382102,home_win
2010,2010-06-17,18,France,Mexico,0.31600918424102115,0.3192511403783816,0.36473967538059726,away_win
2010,2010-06-17,19,Greece,Nigeria,0.30713876166526194,0.2955728681214789,0.39728837021325913,away_win
2010,2010-06-18,20,England,Algeria,0.7955984828888691,0.1505908586348977,0.05381065847623311,home_win
2010,2010-06-18,21,Germany,Serbia,0.48981452778810886,0.2641974867494038,0.2459879854624874,home_win
2010,2010-06-18,22,Slovenia,United States,0.336732412327343,0.22551501951344283,0.43775256815921415,away_win
2010,2010-06-19,23,Cameroon,Denmark,0.35000327229499817,0.2824799716472626,0.36751675605773926,away_win
2010,2010-06-19,24,Ghana,Australia,0.2937000902384493,0.2706980326563706,0.4356018771051801,away_win
2010,2010-06-19,25,Netherlands,Japan,0.7553386631955306,0.13433743913220286,0.11032389767226652,home_win
2010,2010-06-20,26,Brazil,Ivory Coast,0.7010669917186199,0.17649347116033648,0.12243953712104372,home_win
2010,2010-06-20,27,Italy,New Zealand,0.6793631961894273,0.22492456603739086,0.09571223777318177,home_win
2010,2010-06-20,28,Slovakia,Paraguay,0.2950054495038226,0.28045330287376946,0.4245412476224079,away_win
2010,2010-06-21,29,Chile,Switzerland,0.47739345546653056,0.3006420776343655,0.22196446689910393,home_win
2010,2010-06-21,30,Portugal,North Korea,0.7555711213084226,0.1426942784883508,0.1017346002032265,home_win
